ts,timesteps,ep_rew_mean,fps,device,gpu_alloc_mb,gpu_reserved_mb
2025-08-11T02:57:43,4448,,2.47,cuda:0,11,26
2025-08-11T02:57:54,4560,,2.51,cuda:0,11,26
2025-08-11T02:57:57,4480,,2.47,cuda:0,11,26
2025-08-11T02:58:09,4592,,2.51,cuda:0,11,26
2025-08-11T02:58:11,4512,,2.47,cuda:0,11,26
2025-08-11T02:58:24,4624,,2.51,cuda:0,11,26
2025-08-11T02:58:24,4544,,2.47,cuda:0,11,26
2025-08-11T02:58:38,4656,,2.51,cuda:0,11,26
2025-08-11T02:58:39,4576,,2.47,cuda:0,11,26
2025-08-11T02:58:53,4688,,2.5,cuda:0,11,26
2025-08-11T02:58:55,4608,,2.46,cuda:0,11,26
2025-08-11T02:59:07,4720,,2.5,cuda:0,11,26
2025-08-11T02:59:10,4640,,2.46,cuda:0,11,26
2025-08-11T02:59:22,4752,,2.5,cuda:0,11,26
2025-08-11T02:59:25,4672,,2.46,cuda:0,11,26
2025-08-11T02:59:36,4784,,2.5,cuda:0,11,26
2025-08-11T02:59:39,4704,,2.46,cuda:0,11,26
2025-08-11T02:59:50,4816,,2.5,cuda:0,11,26
2025-08-11T02:59:53,4736,,2.46,cuda:0,11,26
2025-08-11T03:00:04,4848,,2.49,cuda:0,11,26
2025-08-11T03:00:07,4768,,2.46,cuda:0,11,26
2025-08-11T03:00:18,4880,,2.49,cuda:0,11,26
2025-08-11T03:00:21,4800,,2.45,cuda:0,11,26
2025-08-11T03:00:33,4912,,2.49,cuda:0,11,26
2025-08-11T03:00:35,4832,,2.45,cuda:0,11,26
2025-08-11T03:00:48,4944,,2.49,cuda:0,11,26
2025-08-11T03:00:50,4864,,2.45,cuda:0,11,26
2025-08-11T03:01:03,4976,,2.48,cuda:0,11,26
2025-08-11T03:01:05,4896,,2.45,cuda:0,11,26
2025-08-11T03:01:18,5008,,2.48,cuda:0,11,26
2025-08-11T03:01:19,4928,,2.45,cuda:0,11,26
2025-08-11T03:01:33,5040,,2.48,cuda:0,11,26
2025-08-11T03:01:34,4960,,2.45,cuda:0,11,26
2025-08-11T03:01:46,5072,,2.48,cuda:0,11,26
2025-08-11T03:01:47,4992,,2.44,cuda:0,11,26
2025-08-11T03:02:00,5104,,2.48,cuda:0,11,26
2025-08-11T03:02:02,5024,,2.44,cuda:0,11,26
2025-08-11T03:02:14,5056,,2.44,cuda:0,11,26
2025-08-11T03:10:10,96,,6.38,cuda:0,56,76
2025-08-11T03:10:17,64,,4.21,cuda:0,56,76
2025-08-11T03:10:23,160,,5.77,cuda:0,56,76
2025-08-11T03:10:29,128,,4.69,cuda:0,56,76
2025-08-11T03:10:35,224,,5.6,cuda:0,56,76
2025-08-11T03:10:41,192,,4.84,cuda:0,56,76
2025-08-11T03:10:48,288,,5.49,cuda:0,56,76
2025-08-11T03:10:54,256,,4.91,cuda:0,56,76
2025-08-11T03:11:00,352,,5.43,cuda:0,56,76
2025-08-11T03:11:06,320,,4.98,cuda:0,56,76
2025-08-11T03:11:12,416,,5.43,cuda:0,56,76
2025-08-11T03:11:17,384,,5.07,cuda:0,56,76
2025-08-11T03:11:24,480,,5.43,cuda:0,56,76
2025-08-11T03:11:29,448,,5.13,cuda:0,56,76
2025-08-11T03:11:36,544,,5.4,cuda:0,56,76
2025-08-11T03:11:40,512,,5.19,cuda:0,56,76
2025-08-11T03:11:49,608,,5.37,cuda:0,56,76
2025-08-11T03:11:53,576,,5.2,cuda:0,56,76
2025-08-11T03:12:01,672,,5.36,cuda:0,56,76
2025-08-11T03:12:04,640,,5.22,cuda:0,56,76
2025-08-11T03:12:13,736,,5.35,cuda:0,56,76
2025-08-11T03:12:17,704,,5.21,cuda:0,56,76
2025-08-11T03:12:25,800,,5.33,cuda:0,56,76
2025-08-11T03:12:29,768,,5.21,cuda:0,56,76
2025-08-11T03:12:38,864,,5.32,cuda:0,56,76
2025-08-11T03:12:42,832,,5.2,cuda:0,56,76
2025-08-11T03:12:50,928,,5.31,cuda:0,56,76
2025-08-11T03:12:54,896,,5.2,cuda:0,56,76
2025-08-11T03:13:03,992,,5.3,cuda:0,56,76
2025-08-11T03:13:06,960,,5.2,cuda:0,56,76
2025-08-11T03:13:15,1056,,5.29,cuda:0,56,76
2025-08-11T03:13:19,1024,,5.2,cuda:0,56,76
2025-08-11T03:13:28,1120,,5.28,cuda:0,56,76
2025-08-11T03:13:30,1088,,5.22,cuda:0,56,76
2025-08-11T03:13:40,1184,,5.27,cuda:0,56,76
2025-08-11T03:13:42,1152,,5.22,cuda:0,56,76
2025-08-11T03:13:54,1248,,5.23,cuda:0,56,76
2025-08-11T03:13:58,1216,,5.15,cuda:0,56,76
2025-08-11T03:14:13,1312,,5.09,cuda:0,56,76
2025-08-11T03:14:14,1280,,5.07,cuda:0,56,76
2025-08-11T03:14:30,1376,,5.01,cuda:0,56,76
2025-08-11T03:14:33,1344,,4.95,cuda:0,56,76
2025-08-11T03:14:48,1440,,4.92,cuda:0,56,76
2025-08-11T03:14:52,1408,,4.85,cuda:0,56,76
2025-08-11T03:15:09,1504,,4.79,cuda:0,56,76
2025-08-11T03:15:13,1472,,4.72,cuda:0,56,76
2025-08-11T03:15:22,1536,,4.71,cuda:0,56,76
2025-08-11T03:15:24,1504,,4.66,cuda:0,56,76
2025-08-11T03:15:35,1568,,4.62,cuda:0,56,76
2025-08-11T03:15:35,1536,,4.61,cuda:0,56,76
2025-08-11T03:15:46,1600,,4.56,cuda:0,56,76
2025-08-11T03:15:47,1568,,4.54,cuda:0,56,76
2025-08-11T03:15:58,1632,,4.49,cuda:0,56,76
2025-08-11T03:15:59,1600,,4.48,cuda:0,56,76
2025-08-11T03:16:10,1664,,4.44,cuda:0,56,76
2025-08-11T03:16:10,1632,,4.43,cuda:0,56,76
2025-08-11T03:16:23,1664,,4.36,cuda:0,56,76
2025-08-11T03:16:38,1728,,4.36,cuda:0,56,76
2025-08-11T03:19:31,90,,6.73,cuda:0,56,74
2025-08-11T03:19:34,54,,4.69,cuda:0,56,74
2025-08-11T03:19:44,162,,6.04,cuda:0,56,74
2025-08-11T03:19:45,108,,4.95,cuda:0,56,74
2025-08-11T03:19:55,216,,5.83,cuda:0,56,74
2025-08-11T03:19:55,162,,5.08,cuda:0,56,74
2025-08-11T03:20:05,270,,5.73,cuda:0,56,74
2025-08-11T03:20:05,216,,5.15,cuda:0,56,74
2025-08-11T03:20:15,324,,5.63,cuda:0,56,74
2025-08-11T03:20:16,270,,5.14,cuda:0,56,74
2025-08-11T03:20:25,378,,5.56,cuda:0,56,74
2025-08-11T03:20:26,324,,5.16,cuda:0,56,74
2025-08-11T03:20:36,378,,5.17,cuda:0,56,74
2025-08-11T03:20:38,450,,5.59,cuda:0,56,74
2025-08-11T03:20:49,450,,5.23,cuda:0,56,74
2025-08-11T03:20:51,522,,5.56,cuda:0,56,74
2025-08-11T03:21:02,522,,5.27,cuda:0,56,74
2025-08-11T03:21:04,594,,5.56,cuda:0,56,74
2025-08-11T03:21:15,594,,5.3,cuda:0,56,74
2025-08-11T03:21:17,666,,5.57,cuda:0,56,74
2025-08-11T03:21:28,666,,5.32,cuda:0,56,74
2025-08-11T03:21:30,738,,5.56,cuda:0,56,74
2025-08-11T03:21:41,792,,5.51,cuda:0,56,74
2025-08-11T03:21:43,738,,5.28,cuda:0,56,74
2025-08-11T03:21:52,828,,5.38,cuda:0,56,74
2025-08-11T03:21:53,774,,5.14,cuda:0,56,74
2025-08-11T03:22:03,864,,5.22,cuda:0,56,74
2025-08-11T03:22:05,810,,4.99,cuda:0,56,74
2025-08-11T03:22:17,900,,5.02,cuda:0,56,74
2025-08-11T03:22:21,846,,4.76,cuda:0,56,74
2025-08-11T03:22:30,936,,4.86,cuda:0,56,74
2025-08-11T03:22:36,882,,4.57,cuda:0,56,74
2025-08-11T03:22:44,972,,4.7,cuda:0,56,74
2025-08-11T03:22:51,918,,4.42,cuda:0,56,74
2025-08-11T03:22:59,1008,,4.55,cuda:0,56,74
2025-08-11T03:23:05,954,,4.3,cuda:0,56,74
2025-08-11T03:23:13,1044,,4.43,cuda:0,56,74
2025-08-11T03:23:18,990,,4.22,cuda:0,56,74
2025-08-11T03:23:27,1080,,4.33,cuda:0,56,74
2025-08-11T03:23:32,1026,,4.13,cuda:0,56,74
2025-08-11T03:23:40,1116,,4.25,cuda:0,56,74
2025-08-11T03:23:46,1062,,4.04,cuda:0,56,74
2025-08-11T03:23:55,1152,,4.15,cuda:0,56,74
2025-08-11T03:23:59,1098,,3.97,cuda:0,56,74
2025-08-11T03:24:09,1188,,4.07,cuda:0,56,74
2025-08-11T03:24:13,1134,,3.91,cuda:0,56,74
2025-08-11T03:24:23,1224,,4.0,cuda:0,56,74
2025-08-11T03:24:27,1170,,3.85,cuda:0,56,74
2025-08-11T03:24:37,1260,,3.94,cuda:0,56,74
2025-08-11T03:24:41,1206,,3.79,cuda:0,56,74
2025-08-11T03:24:52,1296,,3.87,cuda:0,56,74
2025-08-11T03:24:56,1242,,3.73,cuda:0,56,74
2025-08-11T03:25:06,1332,,3.83,cuda:0,56,74
2025-08-11T03:25:09,1278,,3.69,cuda:0,56,74
2025-08-11T03:25:21,1368,,3.76,cuda:0,56,74
2025-08-11T03:25:23,1314,,3.64,cuda:0,56,74
2025-08-11T03:25:35,1404,,3.72,cuda:0,56,74
2025-08-11T03:25:39,1350,,3.59,cuda:0,56,74
2025-08-11T03:25:49,1440,,3.68,cuda:0,56,74
2025-08-11T03:25:54,1386,,3.55,cuda:0,56,74
2025-08-11T03:26:03,1476,,3.64,cuda:0,56,74
2025-08-11T03:26:09,1422,,3.5,cuda:0,56,74
2025-08-11T03:26:17,1512,,3.6,cuda:0,56,74
2025-08-11T03:26:23,1458,,3.47,cuda:0,56,74
2025-08-11T03:26:32,1548,,3.56,cuda:0,56,74
2025-08-11T03:26:38,1494,,3.43,cuda:0,56,74
2025-08-11T03:26:49,1584,,3.51,cuda:0,56,74
2025-08-11T03:26:53,1530,,3.4,cuda:0,56,74
2025-08-11T03:27:03,1620,,3.48,cuda:0,56,74
2025-08-11T03:27:06,1566,,3.38,cuda:0,56,74
2025-08-11T03:27:16,1656,,3.46,cuda:0,56,74
2025-08-11T03:27:20,1602,,3.36,cuda:0,56,74
2025-08-11T03:27:30,1692,,3.44,cuda:0,56,74
2025-08-11T03:27:34,1638,,3.34,cuda:0,56,74
2025-08-11T03:27:45,1728,,3.4,cuda:0,56,74
2025-08-11T03:27:48,1674,,3.32,cuda:0,56,74
2025-08-11T03:28:01,1764,,3.37,cuda:0,56,74
2025-08-11T03:28:02,1710,,3.3,cuda:0,56,74
2025-08-11T03:28:14,1800,,3.35,cuda:0,56,74
2025-08-11T03:28:16,1746,,3.28,cuda:0,56,74
2025-08-11T03:28:29,1836,,3.33,cuda:0,56,74
2025-08-11T03:28:30,1782,,3.26,cuda:0,56,74
2025-08-11T03:28:42,1872,,3.32,cuda:0,56,74
2025-08-11T03:28:47,1818,,3.23,cuda:0,56,74
2025-08-11T03:28:56,1908,,3.3,cuda:0,56,74
2025-08-11T03:29:00,1854,,3.21,cuda:0,56,74
2025-08-11T03:29:11,1944,,3.28,cuda:0,56,74
2025-08-11T03:29:14,1890,,3.2,cuda:0,56,74
2025-08-11T03:29:25,1980,,3.26,cuda:0,56,74
2025-08-11T03:29:28,1926,,3.18,cuda:0,56,74
2025-08-11T03:29:39,2016,,3.24,cuda:0,56,74
2025-08-11T03:29:42,1962,,3.17,cuda:0,56,74
2025-08-11T03:29:53,2052,,3.23,cuda:0,56,74
2025-08-11T03:29:57,1998,,3.15,cuda:0,56,74
2025-08-11T03:30:08,2088,,3.21,cuda:0,56,74
2025-08-11T03:30:11,2034,,3.14,cuda:0,56,74
2025-08-11T03:30:23,2124,,3.19,cuda:0,56,74
2025-08-11T03:30:25,2070,,3.13,cuda:0,56,74
2025-08-11T03:30:37,2160,,3.18,cuda:0,56,74
2025-08-11T03:30:39,2106,,3.12,cuda:0,56,74
