reason,risk_pct,ema_reward,drawdown,freeze_mode
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0037,False
Multiple entry signals active,1.0200,0.0000,0.0045,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0021,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0038,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0000,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0030,False
Multiple entry signals active,1.0200,0.0000,0.0045,False
Multiple entry signals active,1.0200,0.0000,0.0022,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0041,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0021,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0037,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0030,False
Multiple entry signals active,1.0200,0.0000,0.0045,False
Multiple entry signals active,1.0200,0.0000,0.0007,False
Multiple entry signals active,1.0200,0.0000,0.0022,False
Multiple entry signals active,1.0200,0.0000,0.0041,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0021,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0008,False
Multiple entry signals active,1.0200,0.0000,0.0037,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0047,False
Multiple entry signals active,1.0200,0.0000,0.0022,False
Multiple entry signals active,1.0200,0.0000,0.0040,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0012,False
Multiple entry signals active,1.0200,0.0000,0.0030,False
Multiple entry signals active,1.0200,0.0000,0.0012,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0037,False
Multiple entry signals active,1.0200,0.0000,0.0012,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0041,False
Multiple entry signals active,1.0200,0.0000,0.0021,False
Multiple entry signals active,1.0200,0.0000,0.0012,False
Multiple entry signals active,1.0200,0.0000,0.0012,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0012,False
Multiple entry signals active,1.0200,0.0000,0.0027,False
Multiple entry signals active,1.0200,0.0000,0.0012,False
Multiple entry signals active,1.0200,0.0000,0.0022,False
Multiple entry signals active,1.0200,0.0000,0.0012,False
Multiple entry signals active,1.0200,0.0000,0.0012,False
Multiple entry signals active,1.0200,0.0000,0.0047,False
Multiple entry signals active,1.0200,0.0000,0.0001,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0037,False
Multiple entry signals active,1.0200,0.0000,0.0040,False
Multiple entry signals active,1.0200,0.0000,0.0012,False
Multiple entry signals active,1.0200,0.0000,0.0021,False
Multiple entry signals active,1.0200,0.0000,0.0041,False
Multiple entry signals active,1.0200,0.0000,0.0032,False
Multiple entry signals active,1.0200,0.0000,0.0012,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0028,False
Multiple entry signals active,1.0200,0.0000,0.0055,False
Multiple entry signals active,1.0200,0.0000,0.0016,False
Multiple entry signals active,1.0200,0.0000,0.0028,False
Multiple entry signals active,1.0200,0.0000,0.0028,False
Multiple entry signals active,1.0200,0.0000,0.0037,False
Multiple entry signals active,1.0200,0.0000,0.0047,False
Multiple entry signals active,1.0200,0.0000,0.0041,False
Multiple entry signals active,1.0200,0.0000,0.0028,False
Multiple entry signals active,1.0200,0.0000,0.0036,False
Multiple entry signals active,1.0200,0.0000,0.0032,False
Multiple entry signals active,1.0200,0.0000,0.0012,False
Multiple entry signals active,1.0200,0.0000,0.0011,False
Multiple entry signals active,1.0200,0.0000,0.0028,False
Multiple entry signals active,1.0200,0.0000,0.0028,False
Multiple entry signals active,1.0200,0.0000,0.0016,False
Multiple entry signals active,1.0200,0.0000,0.0030,False
